NumeroDexpedient,CodiDistricte,NomDistricte,NkBarri,NomBarri,CodiCarrer,NomCarrer,NumPostalCaption,DescripcioDiaSetmana,DiaDeSetmana,DescripcioTipusDia,NkAny,MesDeAny,NomMes,DiaDeMes,HoraDeDia,DescripcioTorn,DescripcioCausaVianant,NumeroDeMorts,NumeroDeLesionatsLleus,NumeroDeLesionatsGreus,NumeroDeVictimes,NumeroDeVehiclesImplicats,CoordenadaUtmy,CoordenadaUtmx,DataNumeric,Data,CoordUTM,Lat,Lon,LatLonStr,LatLon,Pluja,DescripciTipusDia,MonumentProper,DistMonumentProper,creuaments,DescripciTipusAccident,DescripcioCausaMediata
2011S006023,4,Les Corts,43-4-21,Pedralbes,701268,Dalt (Llobregat),000490000,Dilluns,1,Laboral,2011,9,Setembre,12,17,Tarda,Desconegut,0,4,0,4,4,"4581805,37","425073,45",20110912,12/09/2011,"425073,45/4581805,37",41.3842869384,2.10387371043,"41.3842869384, 2.10387371043","(41.3842869384, 2.10387371043)",False,Laboral,,2000.0,[],Abast multiple,No hi ha causa mediata
2011S007575,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,66508,Carles III,0107B0107B,Dijous,4,Laboral,2011,11,Novembre,10,20,Tarda,Desconegut,0,2,0,2,2,"4582171,98","427005,07",20111110,10/11/2011,"427005,07/4582171,98",41.3877664251,2.12692923276,"41.3877664251, 2.12692923276","(41.3877664251, 2.12692923276)",False,Laboral,,2000.0,"[(41.38805, 2.12717), (41.38798, 2.1274099), (41.38798, 2.1274099)]",Caiguda (dues rodes),No hi ha causa mediata
2011S001294,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,65200,Cardenal Reig,0016 0016,Dijous,4,Laboral,2011,2,Febrer,24,11,Matí,Desconegut,0,2,0,2,2,"4580992,33","425982,21",20110224,24/02/2011,"425982,21/4580992,33",41.3770483652,2.11484059149,"41.3770483652, 2.11484059149","(41.3770483652, 2.11484059149)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2011S003807,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,144601,Diagonal,0629B0629B,Dissabte,6,Laboral,2011,6,Juny,4,0,Nit,Desconegut,0,2,0,2,3,"4582128,36","426838,60",20110604,04/06/2011,"426838,60/4582128,36",41.3873584347,2.12494362458,"41.3873584347, 2.12494362458","(41.3873584347, 2.12494362458)",True,Festiu,,2000.0,[],Abast,Excés de velocitat o inadequada
2011S006089,4,Les Corts,43-4-21,Pedralbes,101700,Doctor Ferran,0003 0005,Dijous,4,Laboral,2011,9,Setembre,15,10,Matí,Desconegut,0,1,0,1,2,"4582278,00","426823,01",20110915,15/09/2011,"426823,01/4582278,00",41.3887047608,2.12473910309,"41.3887047608, 2.12473910309","(41.3887047608, 2.12473910309)",False,Laboral,,2000.0,[],Col.lisió lateral,No hi ha causa mediata
2011S004822,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,247353,Pascual i Vila,0009 0009,Dijous,4,Laboral,2011,7,Juliol,14,13,Matí,Desconegut,0,1,0,1,1,"4581707,12","426141,10",20110714,14/07/2011,"426141,10/4581707,12",41.3835007705,2.11665338362,"41.3835007705, 2.11665338362","(41.3835007705, 2.11665338362)",True,Laboral,,2000.0,"[(41.38313, 2.1169699)]",Atropellament,No hi ha causa mediata
2011S002315,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,247750,Pau Gargallo,0002 0008,Dimarts,2,Laboral,2011,4,Abril,5,18,Tarda,Desconegut,0,1,0,1,3,"4581664,15","425915,99",20110405,05/04/2011,"425915,99/4581664,15",41.3830930609,2.11396664758,"41.3830930609, 2.11396664758","(41.3830930609, 2.11396664758)",False,Laboral,,2000.0,[],Abast multiple,No hi ha causa mediata
2011S003097,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,84102,Collblanc,0170 0170,Dissabte,6,Laboral,2011,5,Maig,7,22,Nit,Desconegut,0,0,0,0,1,"4580913,20","425531,66",20110507,07/05/2011,"425531,66/4580913,20",41.3762941078,2.10946292536,"41.3762941078, 2.10946292536","(41.3762941078, 2.10946292536)",True,Festiu,,2000.0,[],Xoc contra element estàtic,No hi ha causa mediata
2011S002570,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,144601,Diagonal,0673 0685,Dimecres,3,Laboral,2011,4,Abril,13,18,Tarda,Desconegut,0,1,0,1,2,"4581661,11","425403,84",20110413,13/04/2011,"425403,84/4581661,11",41.3830183574,2.1078424959,"41.3830183574, 2.1078424959","(41.3830183574, 2.1078424959)",False,Laboral,,2000.0,[],Col.lisió lateral,No hi ha causa mediata
2011S006640,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,144601,Diagonal,0687 0687,Dimarts,2,Laboral,2011,10,Octubre,4,9,Matí,Desconegut,0,1,0,1,2,"4581626,10","425293,67",20111004,04/10/2011,"425293,67/4581626,10",41.382692816,2.10652935105,"41.382692816, 2.10652935105","(41.382692816, 2.10652935105)",False,Laboral,,2000.0,"[(41.38293, 2.10697)]",Caiguda (dues rodes),No hi ha causa mediata
2011S000805,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,343903,Corts,0073 0073,Diumenge,7,Laboral,2011,2,Febrer,6,11,Matí,Desobeir altres senyals,0,1,0,1,1,"4581237,05","426687,06",20110206,06/02/2011,"426687,06/4581237,05",41.3793169824,2.12323915643,"41.3793169824, 2.12323915643","(41.3793169824, 2.12323915643)",False,Festiu,,2000.0,[],Caiguda interior vehicle,No hi ha causa mediata
2011S003255,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,23800,Arizala,0049 0049,Dissabte,6,Laboral,2011,5,Maig,14,10,Matí,Desconegut,0,0,0,0,2,"4581083,59","426739,64",20110514,14/05/2011,"426739,64/4581083,59",41.3779396202,2.12388644823,"41.3779396202, 2.12388644823","(41.3779396202, 2.12388644823)",True,Festiu,,2000.0,[],Abast,Alcoholèmia
2011S000373,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,700931,Josep Samitier,0001 0001,Dimecres,3,Laboral,2011,1,Gener,19,18,Tarda,Desconegut,0,1,0,1,2,"4581453,00","426328,75",20110119,19/01/2011,"426328,75/4581453,00",41.3812292258,2.1189283037,"41.3812292258, 2.1189283037","(41.3812292258, 2.1189283037)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2011S003936,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,700931,Josep Samitier,0001 0001,Dijous,4,Laboral,2011,6,Juny,9,8,Matí,Desconegut,0,1,0,1,2,"4581453,00","426328,75",20110609,09/06/2011,"426328,75/4581453,00",41.3812292258,2.1189283037,"41.3812292258, 2.1189283037","(41.3812292258, 2.1189283037)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
