entityid,codiincident,descripcioincident,codidistricte,nomdistricte,nkany,mesdeany,nommes,numerodincidentsgub
c86e15cc-789c-4546-b145-2621d535c182,500,MANIFESTACIONS / CONCENTRACIONS,8,Nou Barris,2015,7,Juliol,3
c87077fd-3fc5-440c-817f-3f5bfd3fdf28,30,MATÈRIES PERILLOSES,10,Sant Martí,2015,5,Maig,3
c8731e4f-97e6-43e0-8319-012d4fb88f7d,220,INFRACCIONS EN GUALS I RESERVES,2,Eixample,2015,9,Setembre,295
c878df09-3379-4c5c-bcc7-02aaa3e49397,620,ESTUPEFAENTS / PSICOTROPICS,3,Sants-Montjuïc,2015,3,Març,18
c897aa52-4c17-4902-b37e-c0b19699332f,63,EDIFICIS OFICIALS,2,Eixample,2015,1,Gener,4
c898972b-5f76-4be4-a2b8-42f281015a31,300,ASSISTÈNCIA A PERSONES EN EDIFICI,8,Nou Barris,2015,11,Novembre,36
c8a022bf-4c7a-4676-9140-991f35692643,810,ABOCAMENT DE RESIDUS,7,Horta-Guinardó,2015,4,Abril,4
c8b703c2-1b7e-44ea-b0c3-38b91f723ce9,500,MANIFESTACIONS / CONCENTRACIONS,2,Eixample,2015,7,Juliol,34
c8c21add-04bb-4764-ad9c-f1f0b47676d4,530,DELICTES CONTRA L ORDRE PÚBLIC,2,Eixample,2015,5,Maig,3
c8c33939-b8fe-4f0c-9a3f-da0aff030c86,302,ASSISTÈNCIA A CONDUCTORS EN V  P ,10,Sant Martí,2015,8,Agost,11
c8c9296e-923c-4b5b-9cb8-41787e9769ae,202,RESTRICCIONS TEMPORALS DE TRÀNSIT,2,Eixample,2015,8,Agost,15
c8ce5db1-a5b4-4e4f-bb35-d83f18c01dc2,420,INCIDÈNCIES DE LOCALS,10,Sant Martí,2015,3,Març,66
c8d7c300-608c-48aa-a470-d7f4f287e281,422,INSPECCIONS / CONTROLS EN LOCALS,1,Ciutat Vella,2015,6,Juny,27
c8e89c92-2c15-4be4-b7ba-d633f5f850af,210,ACCIDENTS DE TRÀNSIT SENSE FERITS,8,Nou Barris,2015,4,Abril,38
c8e9948e-966c-48ec-b6b1-b2e958acf923,600,COL·LBORACIÓ AMB AUTORITAT JUDICIAL / POLICIAL,5,Sarrià-Sant Gervasi,2015,8,Agost,5
c8ef3bb5-2810-4dce-947d-2dd185d57d8e,303,ASSISTÈNCIA A MALALTS MENTALS,3,Sants-Montjuïc,2015,6,Juny,4
c8f21269-5ffb-433b-aca6-0fc349d001ce,220,INFRACCIONS EN GUALS I RESERVES,1,Ciutat Vella,2015,5,Maig,166
c8f8d35d-775d-41be-bbe3-8786bf513565,204,SENYALS NO AUTOMATITZADES,4,Les Corts,2015,4,Abril,3
c90582b8-71c4-46c8-8d53-768e1c2c6ea8,230,TRASLLATS DE VEHICLES SENSE INFRACCIÓ,-1,Desconegut,2015,9,Setembre,1
c906f115-cf24-4768-bd03-e428f717895d,610,ACTES CONTRA LA PROPIETAT PRIVADA,3,Sants-Montjuïc,2015,2,Febrer,80
c9127499-7e4c-4c16-b987-c6a73424923d,40,TRANSPORT PÚBLIC,-1,Desconegut,2015,12,Desembre,1
c912c147-3e4c-4d04-9aa3-fa3bb58959a4,241,SUPORTS,4,Les Corts,2015,6,Juny,14
c9133083-a090-40ae-bd68-4cc8fa96c57c,410,ACTIVITATS MOLESTES EN ESPAIS PÚBLICS,5,Sarrià-Sant Gervasi,2015,7,Juliol,221
c914a9a3-e9ce-41b4-8b25-3520dba2ac60,500,MANIFESTACIONS / CONCENTRACIONS,8,Nou Barris,2015,10,Octubre,5
c917f582-f4e1-4644-8a93-a1e5aeb3389e,301,ASSISTÈNCIA A PERSONES EN ESPAIS PÚBLICS,-1,Desconegut,2015,9,Setembre,6
c919b283-fcca-475c-a81b-c4df611f08a8,211,ACCIDENTS DE TRÀNSIT AMB FERITS,1,Ciutat Vella,2015,3,Març,70
c91abc83-8212-4b73-b4cf-e23ddffc9025,411,VENDA AMBULANT,6,Gràcia,2015,5,Maig,38
c91d4728-5ed0-4859-a4ba-e6fa2b247cde,420,INCIDÈNCIES DE LOCALS,5,Sarrià-Sant Gervasi,2015,10,Octubre,84
c91eaef1-36b8-4faf-9b7e-c730ed3ec5a4,480,ALARMES D INCENDI / ROBATORI,1,Ciutat Vella,2015,8,Agost,28
