CODI_INCIDENT;DESCRIPCIO_INCIDENT;CODI_DISTRICTE;NOM_DISTRICTE;ANY;MES;NOM_MES;NOMBRE_INCIDENTS
500;MANIFESTACIONS / CONCENTRACIONS;3;Sants-Montjuïc;2013;10;Octubre;37
000;INCENDIS;10;Sant Martí;2013;11;Novembre;64
302;ASSISTÈNCIA A CONDUCTORS EN V, P,;10;Sant Martí;2013;11;Novembre;10
070;SINISTRES EN EDIFICIS;9;Sant Andreu;2013;11;Novembre;4
241;SUPORTS;4;Les Corts;2013;11;Novembre;13
451;OCUPACIONS D ESPAIS PÚBLICS;7;Horta-Guinardó;2013;10;Octubre;2
303;ASSISTÈNCIA A MALALTS MENTALS;7;Horta-Guinardó;2013;8;Agost;3
242;IMMOBILITZACIONS /DESIMMOBILITZACIONS;1;Ciutat Vella;2013;7;Juliol;1
300;ASSISTÈNCIA A PERSONES EN EDIFICI;7;Horta-Guinardó;2013;12;Desembre;28
420;INCIDÈNCIES DE LOCALS;5;Sarrià-Sant Gervasi;2013;12;Desembre;44
230;TRASLLATS DE VEHICLES SENSE INFRACCIÓ;10;Sant Martí;2013;12;Desembre;32
620;ESTUPEFAENTS / PSICOTROPICS;6;Gràcia;2013;12;Desembre;10
430;ESPECTACLES EN ESPAIS PÚBLICS;9;Sant Andreu;2013;12;Desembre;1
422;INSPECCIONS / CONTROLS EN LOCALS;-1;Desconegut;2013;1;Gener;9
422;INSPECCIONS / CONTROLS EN LOCALS;-1;Desconegut;2013;4;Abril;9
061;AVARIES DE SERVEIS PÚBLICS;-1;Desconegut;2013;5;Maig;4
410;ACTIVITATS MOLESTES EN ESPAIS PÚBLICS;-1;Desconegut;2013;5;Maig;48
210;ACCIDENTS DE TRÀNSIT SENSE FERITS;-1;Desconegut;2013;1;Gener;15
221;INFRACCIONS PER ESTACIONAMENTS;-1;Desconegut;2013;5;Maig;30
450;OBRES / TREBALLS EN ESPAIS PÚBLICS;-1;Desconegut;2013;5;Maig;1
062;AVARIES DE SERVEIS MUNICIPALS;-1;Desconegut;2013;1;Gener;3
241;SUPORTS;-1;Desconegut;2013;4;Abril;10
100;ÀMBIT DE PROTECCIÓ DEL MENOR;-1;Desconegut;2013;6;Juny;4
830;ALTRES ACTUACIONS EN MEDI AMBIENT;-1;Desconegut;2013;5;Maig;2
510;BARALLES;-1;Desconegut;2013;11;Novembre;4
610;ACTES CONTRA LA PROPIETAT PRIVADA;-1;Desconegut;2013;8;Agost;34
300;ASSISTÈNCIA A PERSONES EN EDIFICI;-1;Desconegut;2013;11;Novembre;9
441;ANIMALS / INSECTES PERILLOSOS;-1;Desconegut;2013;7;Juliol;2
620;ESTUPEFAENTS / PSICOTROPICS;-1;Desconegut;2013;11;Novembre;8
022;NEU I GEL;5;Sarrià-Sant Gervasi;2013;1;Gener;1
630;CONTRA LA LLIBERTAT SEXUAL;1;Ciutat Vella;2013;5;Maig;2
810;ABOCAMENT DE RESIDUS;4;Les Corts;2013;7;Juliol;1
030;MATÈRIES PERILLOSES;5;Sarrià-Sant Gervasi;2013;11;Novembre;3
441;ANIMALS / INSECTES PERILLOSOS;4;Les Corts;2013;1;Gener;1
223;INFRACCIONS EN MOVIMENT (VEHICLES);9;Sant Andreu;2013;9;Setembre;2
302;ASSISTÈNCIA A CONDUCTORS EN V, P,;8;Nou Barris;2013;6;Juny;1
620;ESTUPEFAENTS / PSICOTROPICS;4;Les Corts;2013;5;Maig;1
800;FOGUERES / BARBACOES;8;Nou Barris;2013;9;Setembre;1
020;PLUJA TORRENCIAL;7;Horta-Guinardó;2013;8;Agost;1
223;INFRACCIONS EN MOVIMENT (VEHICLES);1;Ciutat Vella;2013;11;Novembre;2
610;ACTES CONTRA LA PROPIETAT PRIVADA;1;Ciutat Vella;2013;3;Març;509
221;INFRACCIONS PER ESTACIONAMENTS;5;Sarrià-Sant Gervasi;2013;3;Març;193
220;INFRACCIONS EN GUALS I RESERVES;8;Nou Barris;2013;3;Març;114
200;INCIDÈNCIES AMB AFECTACIÓ DE VIA;8;Nou Barris;2013;3;Març;44
070;SINISTRES EN EDIFICIS;10;Sant Martí;2013;3;Març;16
510;BARALLES;10;Sant Martí;2013;3;Març;20
210;ACCIDENTS DE TRÀNSIT SENSE FERITS;1;Ciutat Vella;2013;3;Març;34
620;ESTUPEFAENTS / PSICOTROPICS;6;Gràcia;2013;3;Març;10
303;ASSISTÈNCIA A MALALTS MENTALS;3;Sants-Montjuïc;2013;3;Març;3
510;BARALLES;2;Eixample;2013;3;Març;27
